ticker,date,headline_after_tokenize,label,fore_volatility,true_volatility
1,2018/12/6,,0,0.014308419,0.008179256999999999
1,2018/12/7,,0,0.016879075,0.030133522000000006
1,2018/8/23,,0,0.018162431,0.020445219
1,2019/10/10,中国 亿元 公告 近 股份 公司 部分 发布 大 资金,0,0.018232086,0.020862627
1,2019/10/11,影响 招商银行 资金 有限公司 银行股 涨 科技 公司 大 证券 进展公告 股份 募集 企业 中国 部分 连续 进行现金管理 下,0,0.019142998,0.015545654
1,2019/10/14,近 金融 新 资金 季报 银行股 公告 大 上涨 行业 A股 遭 大单 中国 涨停 不减 大涨 数据 牛市 部分 下,0,0.019326727,0.015069366
1,2019/10/15,缩短 金融 获 资金 有限公司 银行股 公告 公司 证券 上涨 A股 贷款 逾 进展公告 跨境 股份 募集 企业 董事会 药业 南京 理财产品 进行现金管理 券商,0,0.019406059,0.017843356
1,2019/10/16,股东 保险 银行股 有限公司 逾 公告 遭 银行板块 下 股份 数据 金融 公司 大,0,0.020383394,0.016695603
1,2019/10/17,亿元 上半年 金融 资金 有限公司 银行股 公告 科技 公司 发布 大 证券 使用闲置 进展公告 遭 股份 会 募集 董事会 中国 资金购买 买 部分 理财产品 进行现金管理,0,0.017372931,0.020315675
1,2019/10/18,股东 有限公司 公告 控股 股份 数据 金融 理财产品 发布,0,0.017391621,0.019263067
1,2019/10/21,下降 亿元 近 金融 获 资金 季报 公告 拟 公司 发布 股东 A股 补涨 逾 三季度 遭 股份 会 六大 中国 买,0,0.020079957,0.017721538000000002
1,2019/10/22,下降 亿元 银行板块 近 金融 获 资金 季报 有限公司 银行股 公告 盈利 科技 公司 证券 股东 A股 逾 三季度 股份 千亿 大单 中国 两市 买 连续 下,0,0.021517895,0.013117306
1,2019/10/23,中国 有限公司 银行股 对比 逾 药业 使用闲置 银行家 三季度 资金购买 进展公告 股份 影响 理财产品 部分 季报,0,0.018274411,0.019281312
1,2019/10/24,中国 A股 亿元 三季度 拟 发行 券商 股份 强 科技 金融 公司 新 上市银行 大 上涨 行业 季报,0,0.021087615,0.014563176
1,2019/10/25,中国 A股 保险 银行股 有限公司 公告 进展公告 发行 遭 三季度 近 股份 募集 新 进行现金管理 资金,0,0.019776439,0.022996117000000003
1,2019/10/28,中国 亿元 发行 三季度 拟 近 盈利 金融 公司 大 季报,0,0.019560455,0.022076874
1,2019/10/29,中国 A股 下降 银行股 亿元 有限公司 涨停 三季度 近 股份 千亿 金融 公司 买 发布 连续 季报,0,0.019183302,0.021934598
1,2019/10/30,有限公司 下降 银行股 股份 科技 获 上市银行 大 行业,0,0.020211653,0.017542225
1,2019/10/31,有限公司 A股 亿元 公告 三季度 发行 股份 科技 罚 金融 理财产品 上市银行 光大银行,0,0.017079672,0.015974936999999998
1,2019/10/8,银行股 银行板块 涨 快讯 科技 千亿 行业 共振 券商 资金,0,0.019072951,0.014805673
1,2019/10/9,有限公司 A股 银行股 亿元 公告 银行板块 大涨 控股 两市 股份 券商 资金,0,0.019899557,0.016493426999999998
1,2019/11/1,有限公司 股东 A股 公告 三季度 盈利 股份 科技 金融 公司,0,0.018135239,0.00944102
1,2019/11/11,中国 A股 下降 三季度 近 上市银行 资金 季报,0,0.019545164,0.002634852
1,2019/11/12,有限公司 逾 公告 股份 企业 下滑 数据 金融 证券,0,0.019295809,0.003099732
1,2019/11/13,中国 有限公司 使用闲置 资金购买 亿元 公告 三季度 股份 募集 金融 公司 部分 理财产品 新 上市银行 行业,0,0.018179252,0.014699495
1,2019/11/14,中国 下降 有限公司 进展公告 拟 募集 科技 金融 行业 首次 理财产品 新 资金,0,0.016765479,0.01479815
1,2019/11/15,理财 金融 新 券商 资金,0,0.017965833,0.014901003
1,2019/11/18,中国 保险 贷款 银保监 逾 亿元 遭 近 会 罚 公司 金融 新 上涨,0,0.017579264,0.016496611
1,2019/11/19,有限公司 保险 贷款 药业 公告 南京 进展公告 遭 股份 募集 招商银行 金融 罚 进行现金管理 资金,0,0.016238151,0.016274217
1,2019/11/20,亿元 发行 银行板块 金融 招商银行 资金 银行股 公告 快讯 科技 罚 发布 大 股东 贷款 会 共振 上市银行 兴业银行,0,0.015277709,0.010778441
1,2019/11/21,亿元 金融 近 资金,0,0.017532651,0.010848749
1,2019/11/22,中国 A股 银行股 亿元 公告 融资客 股份 科技 金融 公司 获 部分 发布,0,0.016519876,0.009984693
1,2019/11/25,亿元 近 获,0,0.016157028,0.007159294
1,2019/11/26,有限公司 下降 贷款 银行板块 金融 董事会 证券,0,0.016111208000000002,0.00767742
1,2019/11/27,中国 保险 贷款 三季度 盈利 科技 招商银行 公司 上市银行 证券 资金,0,0.0154303,0.007573579
1,2019/11/28,中国 有限公司 公告 股份 董事会 部分,0,0.015684156,0.008540345
1,2019/11/29,中国 有限公司 公告 股份 募集 科技 金融 董事会 新 进行现金管理 资金,0,0.020505605,0.010094915
1,2019/11/4,中国 A股 亿元 公告 三季度 银行板块 涨 盈利 快讯 科技 金融 上市银行 券商 兴业银行,0,0.020076919,0.01213265
1,2019/11/5,中国 银行股 亿元 公告 ST 理财 三季度 发行 股份 千亿 董事会 上市银行 大 季报,0,0.019875142,0.00872218
1,2019/11/6,有限公司 贷款 亿元 公告 进展公告 拟 股份 金融 获 董事会 证券 光大银行,0,0.018899067,0.009484484
1,2019/11/7,数据 科技,0,0.017953123,0.009837811
1,2019/11/8,有限公司 A股 贷款 进展公告 盈利 股份 企业 董事会 公司,0,0.013887516,0.015191741000000003
1,2019/12/10,股东 A股 银行股 有限公司 公告 进展公告 募集 企业 金融 招商银行 理财产品 券商 证券 资金,0,0.013273853,0.013974085
1,2019/12/11,有限公司 保险 亿元 逾 公告 股份 募集 数据 部分 连续 解盘 资金,0,0.01172989,0.014926938
1,2019/12/12,A股 亿元 近 买 首次 大,0,0.013385909,0.01361338
1,2019/12/13,有限公司 药业 公告 股份 募集 进行现金管理 资金,0,0.014817615,0.008843149
1,2019/12/16,有限公司 银保监 银行股 亿元 批复 任职资格 LPR 跨境 股份 董事会 连续 发布 新,0,0.014362333,0.01415086
1,2019/12/17,中国 银保监 公告 批复 企业 任职资格 核准,0,0.013778932,0.010815182
1,2019/12/18,有限公司 亿元 公告 融资客 控股 股份 募集 招商银行 部分 资金,0,0.014880222,0.01099696
1,2019/12/19,中国 银保监 亿元 融资客 发行 会 千亿 招商银行 金融 大,0,0.015709573,0.0069036
1,2019/12/2,券商,0,0.013444764,0.01180651
1,2019/12/20,中国 亿元 发行 银行板块 融资客 科技 金融 招商银行 牛市 大 资金,0,0.013212485,0.012555018
1,2019/12/23,中国 A股 融资客 金融 获,0,0.014774542,0.0073044009999999986
1,2019/12/24,中国 A股 银保监 公告 批复 银行板块 罚 首次 发布 任职资格 核准 证券,0,0.014383536,0.0077789869999999985
1,2019/12/25,有限公司 银保监 批复 发行 支行 股份 两市 行业 发布 新 资金,0,0.013518404,0.011544176
1,2019/12/26,有限公司 中国 亿元 股份 大 金融 资金 公司 发布 新 券商 证券 行业,0,0.013435476000000002,0.012411962
1,2019/12/27,有限公司 中国 银行股 亿元 逾 ST 南京 拟 公告 股份 张家港 公司 行业,0,0.015064828,0.009445267
1,2019/12/3,理财 数据 金融 公司 证券 资金,0,0.012471723,0.013696324
1,2019/12/30,中国 银行股 理财 公告 发行 银行板块 近 科技 企业,0,0.012466342,0.013010785
1,2019/12/31,使用 亿元 发行 近 招商银行 金融 新 资金 有限公司 理财 公告 公司 银保监 使用闲置 三季度 股份 会 募集 董事会 六大 中国 资金购买 批复 数据 理财产品,0,0.014430368999999997,0.009262586
1,2019/12/4,有限公司 A股 亿元 公告 下 股份 募集 数据 金融 大 资金,0,0.014441498999999997,0.011913836
1,2019/12/5,中国 银保监 南京 理财 公告 拟 发行 批复 股份 会 募集 金融 公司 部分,0,0.013684876,0.012179068
1,2019/12/6,有限公司 A股 银行股 亿元 公告 南京 批复 近 股份 连续 券商 资金,0,0.01391283,0.017353602
1,2019/12/9,有限公司 银保监 批复 股份 行业,0,0.014866609,0.010628576
1,2019/5/31,中国 行业,0,0.021651481,0.018873031
1,2019/8/12,使用 亿元 发行 上半年 获 新 资金 有限公司 银行股 盈利 大 证券 上涨 股东 贷款 股份 企业 半年报 理财产品 连续 券商,0,0.023168356,0.006945855999999999
1,2019/8/13,有限公司 银行股 亿元 逾 进展公告 近 募集 强 半年报 罚 获 买 公司 金融 理财产品 资金,0,0.020229005,0.0033067070000000003
1,2019/8/14,亿元 上半年 近 强 招商银行 获 金融 进行现金管理 新 资金 有限公司 银行股 盈利 科技 大 证券 A股 使用闲置 逾 进展公告 股份 募集 中国 资金购买 买 部分 理财产品 上市银行 下,0,0.019936514,0.015040062
1,2019/8/15,亿元 上半年 强 金融 获 新 资金 有限公司 银行股 科技 大 A股 进展公告 股份 会 募集 半年报 中国 数据 连续 进行现金管理,0,0.022291255,0.014835891
1,2019/8/16,银行板块 上半年 近 金融 新 核准 资金 有限公司 专项报告 盈利 科技 公司 半年度 证券 行业 股东 A股 逾 股份 募集 半年报 中国 部分,0,0.019590223,0.019792417
1,2019/8/19,亿元 近 获 新 资金 银行股 涨 公司 大 证券 行业 股东 A股 逾 半年报 南京 两市 数据 买 连续 券商,0,0.021231978,0.02171789
1,2019/8/20,亿元 近 强 金融 首次 新 资金 有限公司 专项报告 LPR 科技 大 上涨 使用闲置 进展公告 股份 募集 千亿 董事会 资金购买 药业 数据 理财产品 下,0,0.020253242,0.021657466
1,2019/8/21,亿元 上半年 强 金融 首次 新 资金 银行股 公告 专项报告 LPR 科技 公司 大 募集 中国 两市 买 券商,0,0.020300211,0.016772686000000002
1,2019/8/22,亿元 上半年 强 获 资金 有限公司 银行股 专项报告 LPR 科技 罚 公司 半年度 大 行业 贷款 逾 进展公告 股份 募集 企业 中国 牛市 下,0,0.020380633,0.016783393
